subnet,count,variance,range,min_diff,max_diff,variance_diff,95th_diff,5th_diff,mean_diff,variance_diff_p,max_diff_p,min_diff_p,95th_diff_p,5th_diff_p,mean_diff_p,count_type_1_or_3,variance_type_1_or_3,range_type_1_or_3,min_diff_type_1_or_3,max_diff_type_1_or_3,variance_diff_type_1_or_3,95th_diff_type_1_or_3,5th_diff_type_1_or_3,mean_diff_type_1_or_3,variance_diff_p_type_1_or_3,max_diff_p_type_1_or_3,min_diff_p_type_1_or_3,95th_diff_p_type_1_or_3,5th_diff_p_type_1_or_3,mean_diff_p_type_1_or_3,iid_macderived_ratio,iid_really_macderived_ratio,iid_lowbyte_ratio,iid_embeddedipv4_32_ratio,iid_embeddedipv4_64_ratio,iid_pattern_bytes_ratio,iid_random_ratio,iid_really_macderived_over_total_ratio
2a03:c100:f801::/48,251,2098634.790368406,3124.0,3.0,3124.0,2098634.790368407,3101.0,75.5,1780.215139442231,61562.915518824724,2484.5,0.0,23.54999999999997,1.0,31.439393939393938,234,2032249.326192563,3124.0,3.0,3124.0,2032249.326192563,3102.05,81.85,1901.8931623931624,61412.814638159325,2481.6299999999997,0.0,29.844000000000037,1.0,31.441111111111113,0.0,0.6324786324786325,0.4103585657370518,0.0,0.0,0.0,0.0,1.0
2a02:a58:84a9::/48,165,1997204.035775941,3120.0,3.0,3120.0,1997204.035775941,3095.8,41.0,1243.6424242424243,61177.98722089584,2478.2000000000003,0.0,26.052,1.3360000000000596,31.452525252525255,163,2005659.739019158,3120.0,3.0,3120.0,2005659.739019158,3095.9,41.0,1257.5889570552147,31165.83881073363,1387.8800000000058,0.0,30.99399999999977,1.2819999999999965,31.453535353535354,0.0,1.0,0.012121212121212121,0.0,0.0,0.0,0.0,1.0
2001:a61:a35::/48,107,21042.196698401607,476.0,10.0,476.0,21042.196698401607,445.7,30.0,173.62616822429908,26.333992612998486,35.87999999999977,0.0,12.173999999999895,1.0600000000000012,4.705252525252525,107,21042.196698401607,476.0,10.0,476.0,21042.196698401607,445.7,30.0,173.62616822429908,26.333992612998486,35.87999999999977,0.0,12.173999999999895,1.0600000000000012,4.705252525252525,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a04:9546:1972::/48,42,24350.717120181405,499.0,7.0,499.0,24350.717120181405,478.4499999999999,30.749999999999996,163.5952380952381,38.70278183858792,30.340000000000032,0.0,19.054000000000052,0.7229999999999989,5.011414141414141,42,24350.717120181405,499.0,7.0,499.0,24350.717120181405,478.4499999999999,30.749999999999996,163.5952380952381,38.70278183858792,30.340000000000032,0.0,19.054000000000052,0.7229999999999989,5.011414141414141,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a02:c7c:ee22::/48,186,24468.360648629907,768.0,5.0,768.0,24468.360648629907,500.0,60.0,188.1451612903226,509.0053168044078,221.85000000000002,0.29999999999999716,21.49999999999997,1.0,7.672727272727273,185,24543.12853177502,768.0,5.0,768.0,24543.12853177502,500.0,60.0,187.5891891891892,507.891880093868,221.84000000000003,0.0,20.083999999999946,1.0,7.673131313131313,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2a01:cb19:851e::/48,205,64173.58629387269,3056.0,5.0,3056.0,64173.58629387269,468.0,32.599999999999994,168.88292682926829,64713.92840926436,2548.2,0.0,20.600000000000154,1.0,30.81737373737374,205,64173.58629387269,3056.0,5.0,3056.0,64173.58629387269,468.0,32.599999999999994,168.88292682926829,64713.92840926436,2548.2,0.0,20.600000000000154,1.0,30.81737373737374,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2a03:c100:f808::/48,253,2050166.70315112,3211.0,5.0,3211.0,2050166.7031511196,3100.8,73.8,1859.4268774703557,34836.47154012887,1693.2400000000168,0.0,54.476,1.0,32.36848484848485,239,1983058.9946254434,3211.0,5.0,3211.0,1983058.9946254434,3102.0,77.39999999999999,1961.1338912133892,62247.34692019185,2498.12,0.0,37.02599999999975,1.0,32.36989898989899,0.0,0.6485355648535565,0.38735177865612647,0.0,0.0,0.0,0.0,1.0
2a02:6d40:3686::/48,105,17918.445714285717,515.0,4.0,515.0,17918.445714285717,437.4,54.8,162.2,63.54892961942664,49.9199999999999,0.0,22.256000000000107,0.6680000000000049,5.154343434343434,105,17918.445714285717,515.0,4.0,515.0,17918.445714285717,437.4,54.8,162.2,63.54892961942664,49.9199999999999,0.0,22.256000000000107,0.6680000000000049,5.154343434343434,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2a01:4f8:c17::/48,43881,24295.34440624908,3277.0,0.0,3277.0,24295.34440624908,163.0,53.0,103.87837560675463,94619.86613610855,3078.0,1.0,4.099999999999994,1.0,32.94949494949495,154,2005772.3242115038,3266.0,3.0,3266.0,2005772.3242115038,3225.5,92.0,2190.214285714286,41243.47784260791,1638.870000000001,0.0,15.442999999999982,0.9940000000000054,32.95424242424243,0.032467532467532464,0.0,0.99940748843463,0.01948051948051948,0.09090909090909091,0.006493506493506494,0.01948051948051948,0.0
2a03:c100:f70f::/48,253,484173.1948319767,3100.0,2.0,3100.0,484173.1948319767,3022.6,48.0,342.24110671936756,61980.80849839811,2494.72,0.5199999999999818,21.20000000000012,1.0,31.176161616161618,249,491089.92600119364,3100.0,2.0,3100.0,491089.92600119364,3023.4,48.79999999999998,344.82730923694777,48824.92315674139,2197.0800000000595,0.47999999999998977,22.000000000000025,0.9880000000000023,31.17737373737374,0.0,0.10441767068273092,0.8972332015810277,0.0,0.0,0.0,0.0,1.0
