subnet,count,variance,range,min_diff,max_diff,variance_diff,95th_diff,5th_diff,mean_diff,variance_diff_p,max_diff_p,min_diff_p,95th_diff_p,5th_diff_p,mean_diff_p,count_type_1_or_3,variance_type_1_or_3,range_type_1_or_3,min_diff_type_1_or_3,max_diff_type_1_or_3,variance_diff_type_1_or_3,95th_diff_type_1_or_3,5th_diff_type_1_or_3,mean_diff_type_1_or_3,variance_diff_p_type_1_or_3,max_diff_p_type_1_or_3,min_diff_p_type_1_or_3,95th_diff_p_type_1_or_3,5th_diff_p_type_1_or_3,mean_diff_p_type_1_or_3,iid_macderived_ratio,iid_really_macderived_ratio,iid_lowbyte_ratio,iid_embeddedipv4_32_ratio,iid_embeddedipv4_64_ratio,iid_pattern_bytes_ratio,iid_random_ratio,iid_really_macderived_over_total_ratio
2a02:b021:8010::/48,18403,33868608.152366884,374456.0,3.0,374456.0,33868608.152366884,3556.899999999998,203.29999999999973,992.3110905830571,1365283992.4005919,369562.22000000003,6.760000000000218,245.18199999999112,8.0,3781.8888888888887,18389,33893905.98813176,374456.0,3.0,374456.0,33893905.98813176,3558.199999999997,204.0,992.9117407145576,1365259998.504907,369559.0,7.0,243.84000000000108,8.504000000000177,3781.8888888888887,0.1408994507586057,0.0011419870574800152,0.0007607455306200076,0.0,0.0004350426885638153,0.0,0.8575235194953504,0.008039816232771823
2401:4900:b93::/48,11787,33080274.73102674,322824.0,12.0,322824.0,33080274.73102674,3475.0,240.0,1326.8855518791888,951621162.2333436,308517.86,6.0,189.6679999999982,8.0,3260.242424242424,11785,33085757.00074078,322824.0,12.0,322824.0,33085757.00074078,3475.0,240.0,1327.034789987272,951620492.5446731,308517.84,6.0,189.69199999999796,8.0,3260.242424242424,0.05820958845990666,8.485362749257531e-05,0.00016967845931958937,0.0017819261773440816,0.0,0.6459058124734832,0.29401781926177345,0.001455604075691412
2a02:4540:7009::/48,9666,823184407.4023988,2366899.0,2.0,2366899.0,823184407.4023988,3786.75,136.0,2456.84295468653,54397472237.31648,2332696.05,5.0,615.2899999999954,6.0,23907.747474747473,9664,823354350.1229415,2366899.0,2.0,2366899.0,823354350.1229415,3786.8500000000004,136.0,2457.118584437086,54397361384.981476,2332693.71,5.0,614.9979999999953,6.0,23907.747474747473,0.17798013245033112,0.0,0.0002069108214359611,0.0,0.00020695364238410596,0.4527110927152318,0.369101821192053,0.0
2804:389:d132::/48,9688,93545101.7811414,467172.0,5.0,467172.0,93545101.7811414,5044.5999999999985,200.0,1680.3666391412057,2095026852.557108,457818.5200000001,7.0,398.1649999999992,9.0,4718.353535353535,9688,93545101.7811414,467172.0,5.0,467172.0,93545101.7811414,5044.5999999999985,200.0,1680.3666391412057,2095026852.557108,457818.5200000001,7.0,398.1649999999992,9.0,4718.353535353535,0.09919488026424443,0.00041288191577208916,0.00041288191577208916,0.0,0.0,0.6848678777869529,0.21511147811725848,0.004145077720207254
2401:4900:3302::/48,14103,383142906.84170216,1405671.0,1.0,1405671.0,383142906.84170216,3379.7999999999993,243.0,1713.1162164078564,19449888558.982464,1394795.04,7.0,270.1419999999986,8.52400000000016,14198.171717171717,14103,383142906.84170216,1405671.0,1.0,1405671.0,383142906.84170216,3379.7999999999993,243.0,1713.1162164078564,19449888558.982464,1394795.04,7.0,270.1419999999986,8.52400000000016,14198.171717171717,0.042118698149329926,0.0004963482946890732,0.0,0.00042544139544777704,7.090689924129617e-05,0.007445224420336099,0.9494433808409558,0.011647254575707155
2405:3800:8ac::/48,6874,6052580.497304405,127520.0,8.0,127520.0,6052580.497304405,1817.0,206.0,854.2730578993309,154059943.14920855,124154.79000000001,7.0,46.614,9.0,1287.5555555555557,281,83167640.32742748,127484.0,5.0,127484.0,83167640.32742748,3418.0,146.0,1902.1032028469751,92876824.51151551,92338.40000000027,1.9999999999999432,192.05999999999793,6.800000000000011,1287.6,0.7437722419928826,0.0,0.9598487052662206,0.0,0.0,0.0,0.23843416370106763,0.0
2402:1980:253::/48,14024,129389959.9063861,1291009.0,1.0,1291009.0,129389959.9063861,1802.0,285.0,1070.592056474615,16574296165.900684,1287511.76,9.0,37.94200000000089,12.0,13039.777777777777,254,14355209.693223387,49373.0,14.0,49373.0,14355209.693223387,3546.35,247.14999999999992,1451.4251968503936,16038650.883421209,39855.76000000001,3.670000000000016,182.2359999999921,7.289999999999964,498.13010101010104,0.6732283464566929,0.0,0.9821021106674273,0.0,0.0,0.0,0.31496062992125984,0.0
2803:c800:4066::/48,17772,408419383.1402479,897785.0,1.0,897785.0,408419383.1402479,3283.4500000000007,178.0,2145.364449696151,7655624894.788503,875108.75,7.0,437.0540000000091,8.91499999999985,9068.151515151516,17772,408419383.1402479,897785.0,1.0,897785.0,408419383.1402479,3283.4500000000007,178.0,2145.364449696151,7655624894.788503,875108.75,7.0,437.0540000000091,8.91499999999985,9068.151515151516,0.08215169930227324,0.0,0.0,0.0,0.0032635606572135943,0.7632793157776278,0.15130542426288543,0.0
2402:1980:24d::/48,10125,10785255.762150317,210766.0,12.0,210766.0,10785255.762150316,1818.0,279.0,982.3285925925926,424623814.82794195,206104.44,9.800000000000182,44.39999999999998,12.0,2128.212121212121,157,10609187.216601081,33801.0,6.0,33801.0,10609187.216601081,3508.199999999999,161.4,1284.1783439490446,4816807.66369146,21368.760000000002,2.240000000000123,518.2120000000021,4.864000000000002,341.27878787878785,0.7197452229299363,0.0,0.9850864197530864,0.0,0.0,0.0,0.24203821656050956,0.0
2a02:aa7:4046::/48,2951,88941395.4196798,487152.0,5.0,487152.0,88941395.4196798,4351.5,228.0,1521.490342256862,2298221468.032191,479492.5,7.5,354.5999999999998,10.50000000000002,4920.252525252526,2941,89238980.00034967,487152.0,14.0,487152.0,89238980.00034967,4362.0,229.0,1524.5528731723903,2298216626.232801,479492.0,7.0,353.57999999999794,10.540000000000044,4920.248484848485,0.11288677320639239,0.005780346820809248,0.003388681802778719,0.0,0.0,0.0,0.8813328799727984,0.04871060171919771
2800:98:10cc::/48,21058,338629370.93079275,1343622.0,1.0,1343622.0,338629370.93079275,3466.149999999998,236.0,1903.7638427201064,17476573530.72703,1322197.6099999999,7.0,304.9649999999715,8.0,13571.40404040404,21058,338629370.93079275,1343622.0,1.0,1343622.0,338629370.93079275,3466.149999999998,236.0,1903.7638427201064,17476573530.72703,1322197.6099999999,7.0,304.9649999999715,8.0,13571.40404040404,0.08448095735587426,0.00023743945293950043,0.0,0.0,0.0009497578117580017,0.7738151771298319,0.14051666824959635,0.002802690582959641
2001:44c8:45d3::/48,12871,86386250.88458493,513893.0,5.0,513893.0,86386250.88458493,3515.0,243.0,1339.7748426695673,2521996134.554679,502282.40000000026,6.0,259.3900000000007,7.0,5190.313131313132,12871,86386250.88458493,513893.0,5.0,513893.0,86386250.88458493,3515.0,243.0,1339.7748426695673,2521996134.554679,502282.40000000026,6.0,259.3900000000007,7.0,5190.313131313132,0.09028047548753011,0.0,0.0,0.0,7.76940408670655e-05,0.6988578975992541,0.2107839328723487,0.0
